Date,BERKSHIRE HATHAWAY INC
2015-11-02,0.0132968877084569
2015-11-03,0.0143306352245613
2015-11-04,0.0035142651782205
2015-11-05,-0.0116334225132148
2015-11-06,0.0148177489419698
2015-11-09,-0.01928179528103
2015-11-10,-0.0061433946827285
2015-11-11,-0.003554893954706
2015-11-12,0.0
2015-11-13,0.0
2015-11-16,0.0405764683643188
2015-11-17,0.0149007771826989
2015-11-18,0.0178568137835188
2015-11-19,0.0032058435372952
2015-11-20,0.0226814161277995
2015-11-23,0.012117307767075
2015-11-24,-0.0063645804537673
2015-11-25,7.692369106360175e-06
2015-11-26,0.0
2015-11-27,0.0042185164695813
2015-11-30,-0.0036129380355979
2015-12-01,0.010648539511324
2015-12-02,0.0112002151446271
2015-12-03,-0.0157160524164174
2015-12-04,0.0229168509394013
